#  L TT            EE            BB            TE            PP            PT            PE           
   0 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   1 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   2 1.0145251e+03 2.9155187e-02 1.8528399e-06 2.5611013e+00 5.0317864e-08 2.9719239e-03 -1.1895128e-05
   3 9.6211688e+02 3.6351434e-02 3.7061537e-06 2.8368318e+00 6.1207298e-08 2.9706133e-03 -1.2521800e-05
   4 9.1170561e+02 3.0597811e-02 6.1779721e-06 2.6336993e+00 7.0497233e-08 2.8951960e-03 -1.0325635e-05
   5 8.7430365e+02 1.9829055e-02 9.2689164e-06 2.2227169e+00 7.8551430e-08 2.7934323e-03 -6.7414562e-06
   6 8.4901250e+02 1.0863083e-02 1.2979754e-05 1.7772857e+00 8.5579819e-08 2.6855380e-03 -2.9587125e-06
   7 8.3313908e+02 5.9097904e-03 1.7311393e-05 1.3912065e+00 9.1767388e-08 2.5810152e-03 1.5641450e-07
   8 8.2381290e+02 3.9269489e-03 2.2264874e-05 1.1026126e+00 9.7242451e-08 2.4797708e-03 2.0964898e-06
   9 8.1970833e+02 3.1799660e-03 2.7841363e-05 9.1304019e-01 1.0211480e-07 2.3804253e-03 2.7313734e-06
  10 8.1939585e+02 2.6852853e-03 3.4042143e-05 8.1158576e-01 1.0645445e-07 2.2848221e-03 2.3064131e-06
  11 8.2148146e+02 2.2665912e-03 4.0868603e-05 7.7961625e-01 1.1035567e-07 2.1970870e-03 1.3097209e-06
  12 8.2676746e+02 2.0352970e-03 4.8322228e-05 7.9816219e-01 1.1382156e-07 2.1162332e-03 2.2203758e-07
  13 8.3334975e+02 2.0162546e-03 5.6404586e-05 8.4469197e-01 1.1695451e-07 2.0447870e-03 -6.5395923e-07
  14 8.4106817e+02 2.1339205e-03 6.5117319e-05 8.9975890e-01 1.1974415e-07 1.9756472e-03 -1.1859362e-06
  15 8.4887287e+02 2.3331756e-03 7.4462128e-05 9.5698800e-01 1.2226444e-07 1.9094261e-03 -1.3182502e-06
  16 8.5857100e+02 2.6233898e-03 8.4440763e-05 1.0192056e+00 1.2451922e-07 1.8435456e-03 -1.0425985e-06
  17 8.7001487e+02 3.0408400e-03 9.5055006e-05 1.0845450e+00 1.2653573e-07 1.7796462e-03 -5.3898541e-07
  18 8.8205554e+02 3.6152894e-03 1.0630666e-04 1.1520563e+00 1.2834860e-07 1.7202436e-03 -3.0696663e-08
  19 8.9544955e+02 4.3428652e-03 1.1819754e-04 1.2245626e+00 1.2996794e-07 1.6651604e-03 2.6355953e-07
  20 9.0858572e+02 5.1975192e-03 1.3072945e-04 1.2964352e+00 1.3140173e-07 1.6136059e-03 2.0009751e-07
  21 9.2216692e+02 6.1785713e-03 1.4390417e-04 1.3713847e+00 1.3267144e-07 1.5648767e-03 -7.7185728e-08
  22 9.3622668e+02 7.3031293e-03 1.5772347e-04 1.4490398e+00 1.3379880e-07 1.5183986e-03 -3.7693026e-07
  23 9.5037560e+02 8.5617998e-03 1.7218904e-04 1.5268880e+00 1.3479247e-07 1.4739447e-03 -5.9561577e-07
  24 9.6493000e+02 9.9498487e-03 1.8730255e-04 1.6018525e+00 1.3565933e-07 1.4314161e-03 -6.7958886e-07
  25 9.8002736e+02 1.1476770e-02 2.0306559e-04 1.6662827e+00 1.3641048e-07 1.3908347e-03 -6.8535977e-07
  26 9.9518116e+02 1.3160462e-02 2.1947965e-04 1.7240673e+00 1.3705773e-07 1.3521909e-03 -6.7547632e-07
  27 1.0107968e+03 1.5013570e-02 2.3654617e-04 1.7768705e+00 1.3761003e-07 1.3152030e-03 -6.2932434e-07
  28 1.0267002e+03 1.7029399e-02 2.5426647e-04 1.8206947e+00 1.3807418e-07 1.2796259e-03 -5.1808457e-07
  29 1.0428119e+03 1.9227863e-02 2.7264175e-04 1.8603565e+00 1.3845014e-07 1.2456039e-03 -3.6203562e-07
  30 1.0593274e+03 2.1632241e-02 2.9167314e-04 1.8887584e+00 1.3873911e-07 1.2133013e-03 -2.0383691e-07
  31 1.0756415e+03 2.4243523e-02 3.1136162e-04 1.9163186e+00 1.3895218e-07 1.1825571e-03 -1.2718207e-07
  32 1.0925604e+03 2.7083138e-02 3.3170804e-04 1.9377079e+00 1.3910123e-07 1.1531504e-03 -1.9929995e-07
  33 1.1095600e+03 3.0109127e-02 3.5271315e-04 1.9514782e+00 1.3919013e-07 1.1249241e-03 -3.8205829e-07
  34 1.1266229e+03 3.3342991e-02 3.7437754e-04 1.9586988e+00 1.3922128e-07 1.0977223e-03 -6.0308645e-07
  35 1.1443260e+03 3.6786219e-02 3.9670170e-04 1.9496544e+00 1.3919857e-07 1.0713195e-03 -7.5732254e-07
  36 1.1617635e+03 4.0464727e-02 4.1968597e-04 1.9341110e+00 1.3912622e-07 1.0456003e-03 -7.5888330e-07
  37 1.1794620e+03 4.4412873e-02 4.4333055e-04 1.9066158e+00 1.3900787e-07 1.0209528e-03 -6.2989558e-07
  38 1.1975295e+03 4.8628092e-02 4.6763552e-04 1.8697382e+00 1.3884680e-07 9.9774636e-04 -4.2395232e-07
  39 1.2158663e+03 5.3099059e-02 4.9260085e-04 1.8237491e+00 1.3864520e-07 9.7577932e-04 -2.1327556e-07
  40 1.2343896e+03 5.7814879e-02 5.1822635e-04 1.7673235e+00 1.3840499e-07 9.5470978e-04 -7.4512590e-08
  41 1.2530115e+03 6.2769304e-02 5.4451176e-04 1.6995558e+00 1.3812828e-07 9.3425446e-04 -6.3099784e-08
  42 1.2717358e+03 6.7974166e-02 5.7145667e-04 1.6211521e+00 1.3781738e-07 9.1435467e-04 -1.5062008e-07
  43 1.2905765e+03 7.3445646e-02 5.9906059e-04 1.5328220e+00 1.3747468e-07 8.9500844e-04 -2.8787517e-07
  44 1.3095844e+03 7.9197772e-02 6.2732293e-04 1.4336706e+00 1.3710260e-07 8.7621486e-04 -4.2584069e-07
  45 1.3288254e+03 8.5241749e-02 6.5624301e-04 1.3224984e+00 1.3670365e-07 8.5797337e-04 -5.1564681e-07
  46 1.3482669e+03 9.1584406e-02 6.8582008e-04 1.1986400e+00 1.3628005e-07 8.4028079e-04 -5.2305306e-07
  47 1.3678911e+03 9.8226807e-02 7.1605333e-04 1.0617074e+00 1.3583364e-07 8.2312560e-04 -4.7183270e-07
  48 1.3876712e+03 1.0516171e-01 7.4694189e-04 9.1136397e-01 1.3536601e-07 8.0649374e-04 -4.0015555e-07
  49 1.4075950e+03 1.1238111e-01 7.7848485e-04 7.4734716e-01 1.3487871e-07 7.9037155e-04 -3.4608704e-07
  50 1.4277171e+03 1.1988817e-01 8.1068126e-04 5.6953342e-01 1.3437342e-07 7.7474605e-04 -3.4759880e-07
  51 1.4480962e+03 1.2768710e-01 8.4353018e-04 3.7804744e-01 1.3385172e-07 7.5960706e-04 -4.3017001e-07
  52 1.4686791e+03 1.3578191e-01 8.7703063e-04 1.7380462e-01 1.3331464e-07 7.4495544e-04 -5.6962767e-07
  53 1.4893943e+03 1.4417320e-01 9.1118167e-04 -4.2291828e-02 1.3276317e-07 7.3079562e-04 -7.2946650e-07
  54 1.5102223e+03 1.5286234e-01 9.4598236e-04 -2.7019785e-01 1.3219836e-07 7.1713220e-04 -8.7326270e-07
  55 1.5311584e+03 1.6185216e-01 9.8143179e-04 -5.1023898e-01 1.3162118e-07 7.0396953e-04 -9.6466603e-07
  56 1.5523140e+03 1.7113905e-01 1.0175291e-03 -7.6337025e-01 1.3103263e-07 6.9130385e-04 -9.7726714e-07
